index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,author_rating_score,author_popularity_score,profit_margin,revenue_per_unit,rating_weighted
236,Seabiscuit,Laura Hillenbrand,Intermediate,4.2,111497,fiction,1007.5,604.5,2.5,258,HarperCollins Publishers,403,2,3.878906830911505,403.0,1.5,468287.4
237,Shutter Island,Dennis Lehane,Intermediate,4.07,113718,fiction,4270.65,2562.39,10.65,259,Penguin Group (USA) LLC,401,2,3.843333212808377,1708.2599999999998,6.39,462832.26
238,The Complete Sherlock Holmes,Arthur Conan Doyle,Famous,4.5,109754,fiction,3180.02,1908.012,7.99,261,Penguin Group (USA) LLC,398,3,4.2661697256356295,1272.008,4.794,493893.0
239,The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",Intermediate,3.65,119933,fiction,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396,2,3.726576927348577,156.81600000000003,0.594,437755.45
240,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,Intermediate,3.81,110481,fiction,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396,2,3.7603166109824007,156.81600000000003,0.594,420932.61
241,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,"Plato, Desmond Lee",Intermediate,3.9,110274,fiction,387.09,232.254,0.99,265,"Amazon Digital Services,  Inc.",391,2,3.786990826580178,154.83599999999998,0.594,430068.6
242,The Taming of the Shrew,William Shakespeare,Intermediate,3.81,126318,nonfiction,2726.1,1635.66,6.99,266,Hachette Book Group,390,2,3.783587471574633,1090.4399999999998,4.194,481271.58
243,Cress,Marissa Meyer,Famous,4.46,162069,nonfiction,1154.14,692.484,2.99,268,Macmillan,386,3,4.32188105284814,461.65600000000006,1.794,722827.74
244,Just Kids,Patti Smith,Intermediate,4.14,106542,fiction,766.15,459.69,1.99,269,Random House LLC,385,2,3.853009968532377,306.46,1.194,441083.87999999995
246,Jemima J,Jane Green,Intermediate,3.62,101436,fiction,758.19,0.0,1.99,271,"Amazon Digital Services,  Inc.",381,2,3.688478558586073,758.19,0.0,367198.32
247,Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",Intermediate,3.97,119851,nonfiction,3013.71,1808.226,7.91,271,"Amazon Digital Services,  Inc.",381,2,3.8224581142438776,1205.484,4.746,475808.47000000003
248,A Fine Balance,Rohinton Mistry,Intermediate,4.34,99252,fiction,1136.2,681.72,2.99,272,Simon and Schuster Digital Sales Inc,380,2,3.900697457010354,454.48,1.794,430753.68
249,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",Famous,4.61,117788,nonfiction,1886.22,1131.732,4.99,273,Penguin Group (USA) LLC,378,3,4.311441893897374,754.488,2.9939999999999998,543002.68
250,Specials,Scott Westerfeld,Intermediate,3.77,139168,fiction,1124.24,674.544,2.99,274,"Amazon Digital Services,  Inc.",376,2,3.7884170026492177,449.696,1.794,524663.36
251,The Awakening,Kate Chopin,Intermediate,3.63,125474,fiction,371.25,0.0,0.99,275,"Amazon Digital Services,  Inc.",375,2,3.728422881741638,371.25,0.0,455470.62
252,Hunted,"P.C. Cast, Kristin Cast",Intermediate,3.93,138103,fiction,1871.25,1122.75,4.99,275,Random House LLC,375,2,3.8350825030108004,748.5,2.994,542744.79
