index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
163,Love the One You're With,Emily Giffin,Intermediate,3.7,124812,fiction,5663.7,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,630
164,The Silkworm,"Robert Galbraith, J.K. Rowling",Intermediate,4.03,120008,fiction,608.85,0.0,0.99,177,"Amazon Digital Services,  Inc.",615
165,The Vampire Lestat,Anne Rice,Intermediate,4.05,141299,fiction,603.9,362.34,0.99,178,"Amazon Digital Services,  Inc.",610
166,State of Wonder,Ann Patchett,Intermediate,3.85,124837,fiction,1210.0,0.0,2.0,179,"Amazon Digital Services,  Inc.",605
167,The Silver Linings Playbook,Matthew Quick,Intermediate,4.0,110939,fiction,594.0,0.0,0.99,180,"Amazon Digital Services,  Inc.",600
168,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",Intermediate,3.86,121112,fiction,3540.25,0.0,5.95,181,"Amazon Digital Services,  Inc.",595
169,The Constant Princess,Philippa Gregory,Intermediate,3.88,124786,fiction,3564.05,2138.43,5.99,181,Penguin Group (USA) LLC,595
170,Mrs Dalloway,"Virginia Woolf, Maureen Howard",Intermediate,3.78,136327,fiction,1174.1,704.46,1.99,182,"Amazon Digital Services,  Inc.",590
171,Hundra̴ringen som klev ut genom f̦nstret och f̦rsvann,"Jonas Jonasson, Rod Bradbury",Intermediate,3.81,92275,fiction,5200.65,3120.39,8.89,183,Macmillan,585
172,Bag of Bones,Stephen King,Intermediate,3.87,131004,fiction,569.25,0.0,0.99,185,"Amazon Digital Services,  Inc.",575
173,The Cider House Rules,John Irving,Intermediate,4.1,124876,fiction,1134.3,0.0,1.99,186,"Amazon Digital Services,  Inc.",570
174,Thinner,"Richard Bachman, Stephen King",Intermediate,3.66,130219,fiction,1659.45,0.0,2.99,189,"Amazon Digital Services,  Inc.",555
175,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",Intermediate,3.9,117108,fiction,4434.45,2660.67,7.99,189,Penguin Group (USA) LLC,555
176,Walk Two Moons,Sharon Creech,Intermediate,3.95,129350,nonfiction,544.5,326.7,0.99,190,"Amazon Digital Services,  Inc.",550
177,Onze minutos,"Paulo Coelho, Margaret Jull Costa",Intermediate,3.69,102206,fiction,534.6,0.0,0.99,192,"Amazon Digital Services,  Inc.",540
